     x       exp(x)
0.700391 0.487106 0.266785
0.041578 -0.186306 -0.414604
-0.641022 -0.863270 -1.079072
-1.286190 -1.482462 -1.665804
-1.834240 -1.985935 -2.119192
-2.232487 -2.324484 -2.394041
-2.440238 -2.462373 -2.459984
-2.432848 -2.380990 -2.304682
-2.204447 -2.081049 -1.935498
-1.769032 -1.583114 -1.379416
-1.159806 -0.926331 -0.681195
-0.426746 -0.165445 0.100151
0.367419 0.633689 0.896277
1.152509 1.399745 1.635413
1.857028 2.062223 2.248772
2.414612 2.557870 2.676879
2.770199 2.836634 2.875247
2.885368 2.866610 2.818871
2.742336 2.637486 0.010000
0.011008 0.011836 0.012479
0.012932 0.013187 0.013240
0.013089 0.012734 0.012175
0.011416 0.010464 0.009325
0.008009 0.006528 0.004894
0.003123 0.001232 -0.000763
-0.002842 -0.004985 -0.007171
-0.009379 -0.011587 -0.013772
-0.015912 -0.017986 -0.019972
-0.021848 -0.023596 -0.025196
-0.026631 -0.027884 -0.028942
-0.029791 -0.030421 -0.030823
-0.030991 -0.030922 -0.030613
-0.030065 -0.029281 -0.028267
-0.027030 -0.025581 -0.023932
-0.022098 -0.020095 -0.017942
-0.015659 -0.013267 -0.010790
-0.008251 -0.005675 -0.003088
-0.000516 0.002016 0.004481
0.006854 0.009110 0.011226
0.013179 0.014947 0.016511
0.017853 0.018957 0.019810
0.020402 0.020722 0.020766
0.020529 0.020013 0.019218
0.018151 0.016819 0.015232
0.013405 0.011354 0.009096
0.006651 0.004044 0.001299
-0.001559 -0.004502 -0.007501
-0.010527 -0.013549 -0.016536
-0.019460 -0.022289 -0.024994
-0.027547 -0.029921 -0.032090
-0.034030 -0.035719 -0.037138
-0.038270 -0.039100 -0.039618
-0.039815 -0.039685 -0.039227
-0.038442 -0.037335 -0.035913
-0.034188 -0.032174 -0.029888
-0.027350 -0.024584 -0.021614
-0.018470 -0.015180 -0.011776
-0.008291 -0.004760 -0.001217
0.002302 0.005761 0.009126
0.012361 0.015433 0.018309
0.020958 0.023351 0.025462
0.027267 0.028744 0.029876
0.030647 0.031046 0.031066
0.030702 0.029954 0.028826
0.027325 0.025463 0.023255
0.020719 0.017877 0.014756
0.011383 0.007791 0.004012
0.000083 -0.003957 -0.008071
-0.012216 -0.016352 -0.020437
-0.024430 -0.028289 -0.031974
-0.035447 -0.038670 -0.041609
-0.044231 -0.046507 -0.048411
-0.049918 -0.051011 -0.051675
-0.051897 -0.051672 -0.050998
-0.049876 -0.048313 -0.046321
-0.043915 -0.041116 -0.037947
-0.034436 -0.030617 -0.026523
-0.022192 -0.017668 -0.012992
-0.008210 -0.003369 0.001482
0.006296 0.011023 0.015615
0.020025 0.024206 0.028114
0.031707 0.034947 0.037795
0.040221 0.042196 0.043695
0.044698 0.045191 0.045162
0.044608 0.043528 0.041929
0.039820 0.037219 0.034145
0.030626 0.026692 0.022379
0.017726 0.012776 0.007576
0.002176 -0.003371 -0.009013
-0.014692 -0.020352 -0.025937
-0.031389 -0.036652 -0.041671
-0.046394 -0.050771 -0.054752
-0.058296 -0.061361 -0.063912
-0.065918 -0.067354 -0.068200
-0.068440 -0.068067 -0.067078
-0.065477 -0.063274 -0.060485
-0.057131 -0.053242 -0.048851
-0.043996 -0.038722 -0.033078
-0.027116 -0.020894 -0.014471
-0.007909 -0.001274 0.005368
0.011952 0.018410 0.024677
0.030687 0.036377 0.041687
0.046560 0.050943 0.054786
0.058045 0.060683 0.062665
0.063966 0.064566 0.064451
0.063616 0.062062 0.059797
0.056837 0.053204 0.048928
0.044046 0.038600 0.032641
0.026222 0.019403 0.012248
0.004828 -0.002788 -0.010524
-0.018304 -0.026050 -0.033683
-0.041127 -0.048304 -0.055140
-0.061562 -0.067502 -0.072895
-0.077682 -0.081808 -0.085226
-0.087893 -0.089776 -0.090847
-0.091089 -0.090489 -0.089046
-0.086765 -0.083662 -0.079758
-0.075086 -0.069684 -0.063599
-0.056886 -0.049605 -0.041825
-0.033618 -0.025063 -0.016241
-0.007240 0.001854 0.010948
0.019952 0.028774 0.037325
0.045514 0.053257 0.060471
0.067078 0.073006 0.078188
0.082565 0.086085 0.088703
0.090385 0.091104 0.090844
0.089596 0.087364 0.084160
0.080006 0.074935 0.068989
0.062218 0.054682 0.046449
0.037595 0.028202 0.018360
0.008163 -0.002291 -0.012898
-0.023554 -0.034152 -0.044585
-0.054747 -0.064533 -0.073841
-0.082572 -0.090633 -0.097936
-0.104401 -0.109953 -0.114528
-0.118070 -0.120533 -0.121882
-0.122092 -0.121148 -0.119050
-0.115807 -0.111439 -0.105979
-0.099471 -0.091970 -0.083542
-0.074261 -0.064212 -0.053489
-0.042193 -0.030431 -0.018316
-0.005968 0.006493 0.018942
0.031255 0.043305 0.054970
0.066128 0.076662 0.086460
0.095416 0.103432 0.110418
0.116292 0.120986 0.124439
0.126606 0.127450 0.126951
0.125099 0.121900 0.117373
0.111549 0.104474 0.096207
0.086818 0.076391 0.065019
0.052809 0.039873 0.026335
0.012325 -0.002022 -0.016564
-0.031159 -0.045658 -0.059916
-0.073787 -0.087128 -0.099800
-0.111668 -0.122605 -0.132492
-0.141220 -0.148687 -0.154808
-0.159507 -0.162722 -0.164406
-0.164527 -0.163068 -0.160028
-0.155421 -0.149278 -0.141646
-0.132585 -0.122173 -0.110500
-0.097672 -0.083805 -0.069028
-0.053481 -0.037313 -0.020678
-0.003740 0.013334 0.030374
0.047208 0.063666 0.079577
0.094778 0.109107 0.122412
0.134550 0.145386 0.154799
0.162679 0.168932 0.173480
0.176258 0.177221 0.176342
0.173611 0.169036 0.162646
0.154485 0.144618 0.133128
0.120112 0.105688 0.089984
0.073147 0.055335 0.036715
0.017467 -0.002221 -0.022156
-0.042141 -0.061976 -0.081458
-0.100390 -0.118576 -0.135825
-0.151954 -0.166790 -0.180172
-0.191950 -0.201989 -0.210172
-0.216397 -0.220582 -0.222665
-0.222604 -0.220377 -0.215985
-0.209451 -0.200819 -0.190154
-0.177544 -0.163094 -0.146932
-0.129204 -0.110070 -0.089710
-0.068316 -0.046093 -0.023254
-0.000024 0.023368 0.046689
0.069704 0.092178 0.113880
0.134584 0.154072 0.172137
0.188582 0.203227 0.215904
0.226469 0.234792 0.240769
0.244315 0.245370 0.243899
0.239891 0.233360 0.224348
0.212920 0.199165 0.183200
0.165161 0.145210 0.123528
0.100316 0.075790 0.050184
0.023745 -0.003270 -0.030595
-0.057960 -0.085089 -0.111707
-0.137543 -0.162329 -0.185804
-0.207720 -0.227842 -0.245948
-0.261837 -0.275327 -0.286258
-0.294495 -0.299928 -0.302474
-0.302078 -0.298715 -0.292388
-0.283133 -0.271011 -0.256116
-0.238571 -0.218523 -0.196151
-0.171654 -0.145259 -0.117210
-0.087774 -0.057231 -0.025878
0.005978 0.038023 0.069936
0.101396 0.132082 0.161677
0.189874 0.216375 0.240897
0.263173 0.282957 0.300026
0.314180 0.325248 0.333089
0.337589 0.338671 0.336290
0.330435 0.321128 0.308431
0.292435 0.273268 0.251092
0.226098 0.198509 0.168577
0.136578 0.102814 0.067606
0.031293 -0.005771 -0.043222
-0.080687 -0.117789 -0.154153
-0.189406 -0.223181 -0.255126
-0.284900 -0.312183 -0.336676
-0.358104 -0.376221 -0.390813
-0.401696 -0.408725 -0.411790
-0.410820 -0.405785 -0.396695
-0.383598 -0.366589 -0.345796
-0.321393 -0.293586 -0.262623
-0.228781 -0.192372 -0.153737
-0.113239 -0.071269 -0.028233
0.015448 0.059342 0.103008
0.146008 0.187900 0.228254
0.266650 0.302680 0.335959
0.366127 0.392847 0.415817
0.434769 0.449472 0.459734
0.465410 0.466394 0.462631
0.454110 0.440869 0.422994
0.400617 0.373919 0.343124
0.308500 0.270357 0.229043
0.184940 0.138464 0.090057
0.040188 -0.010658 -0.061981
-0.113268 -0.164004 -0.213675
-0.261770 -0.307790 -0.351253
-0.391695 -0.428680 -0.461802
-0.490689 -0.515008 -0.534469
-0.548828 -0.557889 -0.561509
-0.559594 -0.552111 -0.539077
-0.520567 -0.496714 -0.467701
-0.433770 -0.395212 -0.352367
-0.305623 -0.255410 -0.202198
-0.146492 -0.088825 -0.029758
0.030131 0.090247 0.149989
0.208753 0.265939 0.320955
0.373229 0.422207 0.467363
0.508206 0.544282 0.575181
0.600539 0.620048 0.633450
0.640552 0.641218 0.635375
0.623019 0.604208 0.579064
0.547779 0.510603 0.467852
0.419899 0.367173 0.310157
0.249379 0.185413 0.118869
0.050391 -0.019355 -0.089678
-0.159880 -0.229252 -0.297091
-0.362698 -0.425393 -0.484516
-0.539438 -0.589563 -0.634341
-0.673269 -0.705895 -0.731828
-0.750742 -0.762375 -0.766538
-0.763113 -0.752059 -0.733409
-0.707276 -0.673846 -0.633381
-0.586218 -0.532763 -0.473490
-0.408936 -0.339695 -0.266418
-0.189799 -0.110575 -0.029515
0.052585 0.134911 0.216636
0.296935 0.374987 0.449984
0.521142 0.587708 0.648966
0.704249 0.752940 0.794484
0.828392 0.854245 0.871705
0.880509 0.880484 0.871541
0.853678 0.826988 0.791649
0.747928 0.696182 0.636850
0.570450 0.497580 0.418906
0.335160 0.247134 0.155668
0.061646 -0.034012 -0.130361
-0.226442 -0.321285 -0.413925
-0.503410 -0.588808 -0.669221
-0.743791 -0.811710 -0.872228
-0.924664 -0.968408 -1.002935
-1.027805 -1.042671 -1.047282
-1.041490 -1.025248 -0.998614
-0.961752 -0.914929 -0.858514
-0.792979 -0.718890 -0.636906
-0.547770 -0.452306 -0.351411
-0.246042 -0.137214 -0.025984
